id,brthcan,prv,region,marstat
940,1,13,1,1
941,1,59,5,1
942,2,46,4,2
943,2,48,4,3
944,2,48,4,1
945,1,13,1,1
946,2,24,2,6
947,1,24,2,3
948,1,24,2,2
949,1,59,5,1
950,1,13,1,2
951,1,35,3,4
952,1,47,4,1
953,1,46,4,1
954,1,12,1,5
955,1,35,3,6
956,1,24,2,2
957,1,13,1,6
958,1,35,3,2
959,2,35,3,1
960,1,24,2,2
961,1,47,4,1
962,1,47,4,3
963,1,13,1,1
964,1,24,2,1
965,1,59,5,5
966,1,46,4,6
967,1,35,3,1
968,1,47,4,1
969,1,46,4,1
970,1,35,3,6
971,1,11,1,5
972,2,59,5,1
973,1,24,2,1
974,1,24,2,6
975,1,10,1,1
976,1,13,1,4
977,2,12,1,6
978,1,13,1,1
979,1,12,1,1
980,1,35,3,1
981,1,13,1,5
982,1,24,2,1
983,2,24,2,1
984,1,24,2,1
985,1,13,1,6
986,1,48,4,1
987,2,59,5,1
988,1,10,1,6
989,2,35,3,1
990,1,59,5,4
991,1,59,5,5
992,1,11,1,4
993,1,11,1,6
994,1,46,4,1
995,1,13,1,5
996,2,10,1,1
997,2,35,3,1
998,1,47,4,1
999,2,35,3,6
1000,1,10,1,6
1001,1,47,4,1
1002,1,59,5,1
1003,2,35,3,1
1004,1,35,3,2
1005,1,59,5,1
1006,1,59,5,1
1007,1,35,3,3
1008,2,35,3,6
1009,1,24,2,6
1010,1,24,2,1
1011,1,13,1,1
1012,2,35,3,1
1013,1,35,3,4
1014,1,35,3,1
1015,1,46,4,2
1016,1,24,2,2
1017,1,59,5,4
1018,2,59,5,3
1019,1,35,3,5
1020,1,10,1,1
1021,1,46,4,1
1022,1,35,3,2
1023,1,24,2,1
1024,1,13,1,5
1025,1,10,1,1
1026,1,35,3,1
1027,1,35,3,2
1028,1,24,2,2
1029,1,10,1,3
1030,1,59,5,2
1031,1,13,1,1
1032,1,12,1,4
1033,1,46,4,2
1034,1,10,1,1
1035,1,35,3,2
1036,1,47,4,5
1037,2,59,5,1
1038,1,35,3,1
1039,1,47,4,5
1040,1,47,4,1
1041,1,24,2,6
1042,1,46,4,1
1043,2,24,2,1
1044,2,59,5,1
1045,1,47,4,3
1046,2,35,3,1
1047,1,13,1,1
1048,1,11,1,6
1049,1,13,1,5
1050,1,47,4,5
1051,2,35,3,1
1052,1,35,3,1
1053,1,12,1,6
1054,1,46,4,3
1055,1,12,1,2
1056,2,24,2,6
1057,1,24,2,2
1058,1,10,1,3
1059,1,10,1,3
1060,2,59,5,1
1061,2,48,4,3
1062,1,24,2,5
1063,1,24,2,3
1064,1,24,2,1
1065,1,24,2,1
1066,1,46,4,1
1067,1,35,3,3
1068,1,35,3,1
1069,1,47,4,2
1070,2,35,3,2
1071,1,24,2,5
1072,1,35,3,1
1073,1,35,3,1
1074,1,13,1,1
1075,1,13,1,3
1076,2,59,5,1
1077,1,47,4,1
1078,1,35,3,1
1079,2,24,2,1
1080,1,35,3,1
1081,1,11,1,3
1082,1,35,3,1
1083,1,46,4,6
1084,2,24,2,6
1085,1,35,3,1
1086,2,35,3,6
1087,1,12,1,1
1088,1,24,2,5
1089,2,24,2,1
1090,1,35,3,3
1091,1,48,4,1
1092,1,13,1,2
1093,1,59,5,6
1094,1,59,5,2
1095,1,10,1,2
1096,2,59,5,1
1097,1,46,4,6
1098,1,46,4,1
1099,1,48,4,6
1100,1,46,4,6
1101,1,13,1,1
1102,1,24,2,2
1103,1,10,1,1
1104,1,35,3,6
1105,1,10,1,1
1106,1,13,1,4
1107,1,24,2,5
1108,1,24,2,5
1109,1,35,3,1
1110,1,48,4,1
1111,1,59,5,1
1112,2,59,5,6
1113,1,35,3,1
1114,1,35,3,1
1115,1,11,1,6
1116,1,35,3,6
1117,1,24,2,6
1118,1,10,1,6
1119,1,59,5,1
1120,1,59,5,2
1121,1,48,4,1
1122,1,13,1,1
1123,1,35,3,5
1124,1,35,3,6
1125,1,11,1,6
1126,1,10,1,1
1127,2,11,1,6
1128,1,12,1,2
1129,1,24,2,1
1130,1,35,3,6
1131,2,35,3,6
1132,1,59,5,6
1133,2,59,5,6
1134,1,35,3,6
1135,1,10,1,1
1136,1,24,2,1
1137,2,24,2,1
1138,1,47,4,3
1139,2,48,4,1
1140,1,46,4,5
1141,2,12,1,1
1142,2,35,3,1
1143,1,46,4,1
1144,2,35,3,1
1145,1,48,4,1
1146,1,24,2,2
1147,1,35,3,1
1148,1,59,5,2
1149,1,35,3,6
1150,2,12,1,6
1151,1,46,4,3
1152,1,13,1,2
1153,1,46,4,5
1154,1,35,3,6
1155,2,35,3,1
1156,2,59,5,1
1157,2,47,4,2
1158,1,35,3,1
1159,1,48,4,1
1160,2,46,4,3
1161,2,59,5,1
1162,1,59,5,6
1163,1,59,5,4
1164,1,46,4,6
1165,1,59,5,1
1166,1,24,2,1
1167,1,24,2,1
1168,1,59,5,6
1169,2,35,3,2
1170,1,10,1,1
1171,1,46,4,1
1172,1,48,4,6
1173,2,35,3,6
1174,1,35,3,6
1175,1,13,1,1
1176,1,59,5,5
1177,1,24,2,4
1178,1,24,2,1
1179,1,12,1,2
1180,2,48,4,1
1181,1,24,2,6
1182,1,35,3,5
